Defense #, RE, NT, LE, ROLB, RILB, LILB, LOLB, RCB, LCB, FS, SS,

Defense: 00,A000: Kickoff; TakeControl; PassRush; ,A008: F5-Pause(32 64); PassRush ,A018: PassRush; ,A025: F4-Pause(3C); PassRush ,A031: ; PassRush; ,A037: F5-Pause(64 FF); F5-Pause(64 FF); PassRush ,A047: ; F5-Pause(64 FF); F5-Pause(64 FF); PassRush ,A04D: ; PassRush; ,A054: F4-Pause(3C); PassRush ,A05B: ; ; PassRush; ,A061: F5-Pause(32 64); PassRush ,
Defense: 01,A110: PassRush; ,A243: PassRush; ,A32A: PassRush; ,A2B2: PassRush; ,A141: PassRush; ,A24A: PassRush; ,A35B: 56%  PassRush; // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush; ,A068: PassRush; ,A075: PassRush; ,A082: ,A089: F4-Pause(00); ,
Defense: 02,A0A5: PassRush; ,A0AF: PassRush; ,A0B9: PassRush; ,A0C3: PassRush; ,A0CD: PassRush; ,A0D7: PassRush; ,A0E1: PassRush; ,A0EB: PassRush; ,A0F5: PassRush; ,A0FF: F5-Pause(01 28); PassRush; ,A109: F4-Pause(00); ,
Defense: 03,A0A5: PassRush; ,A0AF: PassRush; ,A0B9: PassRush; ,A0C3: PassRush; ,A0CD: PassRush; ,A0D7: PassRush; ,A0E1: PassRush; ,A0EB: PassRush; ,A0F5: PassRush; ,A0FF: F5-Pause(01 28); PassRush; ,A109: F4-Pause(00); ,
Defense: 13,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,BF03: PassRush; ,BC56: 88%CPUTeamJumpsTo:56% m2m-FB; // m2m-WR1; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B00C: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B8E9: 75%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR1; // 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F4-Pause(14); F5-Pause(50 82); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 14,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEDF: PassRush; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,BF03: PassRush; ,BB06: 56% 56% 06% m2m-HB; // F4-Pause(1E); m2m-HB; // 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 56% 88%CPUTeamJumpsTo:56% m2m-FB; // m2m-WR1; // F4-Pause(14); F5-Pause(3C 78); PassRush // m2m-FB; ,B1D1: 44% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 44% m2m-TE; // ; 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(00); ,B8E9: 75%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR1; // 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F4-Pause(14); F5-Pause(50 82); PassRush ,B8AF: 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% 69%CPUTeamJumpsTo:56% m2m-FB; // ; m2m-WR2; // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 15,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,B886: 56% 44%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // PassRush; // 12-m2m-FB; ; m2m-FB; ,BC93: 63%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 31% m2m-TE; // // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,BF03: PassRush; ,BB06: 56% 56% 06% m2m-HB; // F4-Pause(1E); m2m-HB; // 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 56% 88%CPUTeamJumpsTo:56% m2m-FB; // m2m-WR1; // F4-Pause(14); F5-Pause(3C 78); PassRush // m2m-FB; ,B1D1: 44% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 44% m2m-TE; // ; 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(00); ,BB1C: 56% 56% 06% 11-m2m-HB; ; m2m-HB; // F4-Pause(1E); 11-m2m-HB; ; m2m-HB; // 06% 13-m2m-WR1; ; m2m-WR1; // F4-Pause(32); 13-m2m-WR1; ; m2m-WR1; // F4-Pause(14); F5-Pause(0A 78); ,B8DF: 56% 06% 14-m2m-WR2; ; m2m-WR2; // 14-m2m-WR2; ; m2m-WR2; // 15-m2m-TE; ; m2m-TE; ,
Defense: 16,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEE5: 44%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // PassRush; ,BC61: 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush ,BC6C: 56%CPUTeamJumpsTo:56% m2m-WR1; // m2m-TE; // F5-Pause(5A C8); PassRush ,BF03: PassRush; ,AFF9: 88%CPUTeamJumpsTo:56% m2m-WR1; // m2m-HB; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B00C: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B72C: 56% F4-Pause(00); // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); ,B042: 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
Defense: 17,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEE5: 44%CPUTeamJumpsTo:56% m2m-HB; // m2m-FB; // PassRush; ,BC61: 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush ,BC6C: 56%CPUTeamJumpsTo:56% m2m-WR1; // m2m-TE; // F5-Pause(5A C8); PassRush ,BF03: PassRush; ,BB34: 44% 06% m2m-WR1; // F4-Pause(1E); m2m-WR1; // 56%  m2m-FB; // m2m-HB; ,B57E: 44% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 44%  m2m-TE; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B72C: 56% F4-Pause(00); // 56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); ,B042: 69%CPUTeamJumpsTo:56% m2m-TE; // m2m-WR2; // 56%  F4-Pause(6E); // F5-Pause(3C A0); ,
